internal_name,open,high,low,close,volume,timestamp
ETH/USD,2759.3300000000,2800.0000000000,2725.3900000000,2777.4800000000,13629.8310153100,1619740800.0000000
ETH/USD,3929.1100000000,4345.4400000000,3500.0000000000,3952.6100000000,49352.3025237708,1620604800.0000000
ETH/USD,2333.0800000000,2470.0000000000,2235.4700000000,2357.4500000000,32750.6756542297,1618963200.0000000
ETH/USD,1816.7500000000,1858.9800000000,1786.1400000000,1841.8000000000,17399.0050267999,1617062400.0000000
ETH/USD,2077.5100000000,2131.0000000000,2003.7000000000,2108.1500000000,14447.5891521703,1617580800.0000000
ETH/USD,2360.7000000000,2645.1900000000,2305.0000000000,2400.0000000000,55448.5782467800,1619049600.0000000
ETH/USD,1921.3100000000,1983.6200000000,1886.2000000000,1968.3300000000,20035.4725466999,1617235200.0000000
ETH/USD,2651.4600000000,2757.0000000000,2383.3900000000,2707.2300000000,50633.0730758701,1621900800.0000000
ETH/USD,2067.5800000000,2194.0000000000,2057.8700000000,2134.8400000000,19547.2583225001,1618012800.0000000
ETH/USD,2008.5300000000,2093.0400000000,1979.6800000000,2077.5000000000,13438.3633605902,1617494400.0000000
ETH/USD,2634.4100000000,2802.0600000000,2443.8800000000,NaN,30193.4200308800,1622592000.0000000
ETH/USD,1841.5500000000,1948.0000000000,1772.2100000000,1918.9100000000,24401.3894797702,1617148800.0000000
ETH/USD,2668.8000000000,2760.4000000000,2563.0100000000,2751.0300000000,29614.7701956700,1619568000.0000000
ETH/USD,2433.8900000000,2548.2800000000,2400.0000000000,2517.5200000000,19675.4141511899,1618444800.0000000
ETH/USD,2628.3400000000,2746.4800000000,2615.2600000000,2712.5000000000,9923.6783016100,1622937600.0000000
ETH/USD,3285.4600000000,3568.6900000000,3242.7700000000,3380.8600000000,30812.6878725500,1621296000.0000000
ETH/USD,2217.2700000000,2369.4400000000,2167.0000000000,2322.8700000000,21979.9777008898,1619308800.0000000
ETH/USD,2281.1700000000,2478.6000000000,2183.0000000000,2388.4500000000,25292.6564596102,1622332800.0000000
ETH/USD,1587.2100000000,1701.3300000000,1587.2100000000,1700.3800000000,14920.0316517800,1616716800.0000000
ETH/USD,1964.2900000000,2085.7000000000,1949.0000000000,2081.8400000000,18026.0746512602,1617840000.0000000
ETH/USD,1687.3200000000,1840.0000000000,1677.0800000000,1816.7500000000,27168.7918590900,1616976000.0000000
ETH/USD,2299.7400000000,2446.8200000000,2283.0800000000,2432.9200000000,50736.7093787504,1618358400.0000000
ETH/USD,2534.7200000000,2682.2800000000,2485.7300000000,2668.5900000000,29553.5080264003,1619481600.0000000
ETH/USD,2705.8600000000,2891.6000000000,2663.9600000000,2856.5500000000,25043.7310999301,1622678400.0000000
ETH/USD,1972.1200000000,2146.0000000000,1948.9800000000,2133.7800000000,32999.1139080002,1617321600.0000000
ETH/USD,2137.5400000000,2317.7300000000,2136.5700000000,2299.8700000000,47997.2851123200,1618272000.0000000
ETH/USD,2166.8300000000,2349.9800000000,2051.2000000000,2336.0000000000,31656.8645224898,1618876800.0000000
ETH/USD,2776.1400000000,2956.0600000000,2757.3000000000,2949.2000000000,19462.1131319001,1619827200.0000000
ETH/USD,2710.4600000000,2914.9700000000,2645.2200000000,2886.7600000000,43485.6739489802,1621987200.0000000
ETH/USD,2322.2000000000,2544.4700000000,2307.0000000000,2534.1300000000,22849.6388397800,1619395200.0000000
ETH/USD,3952.4200000000,4185.0000000000,3766.1100000000,4181.7500000000,25510.1652488402,1620691200.0000000
ETH/USD,3241.4700000000,3550.0000000000,3210.1100000000,3528.2400000000,25640.5833967601,1620172800.0000000
ETH/USD,2468.1900000000,3003.2300000000,2158.9300000000,2778.3000000000,109106.1831188282,1621468800.0000000
ETH/USD,2386.0000000000,2721.8500000000,2277.0000000000,2708.8200000000,29122.6459199500,1622419200.0000000
ETH/USD,3721.4200000000,4183.6800000000,3694.9400000000,4080.8100000000,41175.9622801205,1620950400.0000000
ETH/USD,3487.5800000000,3968.3700000000,3455.5000000000,3918.2100000000,20418.5797201900,1620432000.0000000
ETH/USD,2954.2600000000,3458.0000000000,2954.0500000000,3432.4700000000,52283.9297169109,1620000000.0000000
ETH/USD,2099.6500000000,2679.2500000000,2084.4100000000,2650.4600000000,79654.3717705500,1621814400.0000000
